source_system,order_number,line_number,store_id,sku,quantity,unit_price,discount_amount,gross_amount,vat_amount,net_amount,country,currency_code,category,order_local_ts,order_utc_ts,ingestion_date
OMS,ORD801100,1,2004,SKU00161,2,109.14,10.37,207.91,31.19,176.72,KSA,SAR,HomeAppliance,2025-09-20 15:49:41+0300,2025-09-20 12:49:41+0000,2025-09-03
OMS,ORD801101,1,2006,SKU00229,3,87.51,32.85,229.68,11.48,218.2,UAE,AED,Accessories,2025-09-10 21:17:22+0400,2025-09-10 17:17:22+0000,2025-09-03
OMS,ORD801102,1,2007,SKU00131,1,50.39,6.85,43.54,6.53,37.01,KSA,SAR,HomeAppliance,2025-09-01 06:50:48+0300,2025-09-01 03:50:48+0000,2025-09-03
OMS,ORD801103,1,2000,SKU00050,2,51.06,4.85,97.27,4.86,92.41,UAE,AED,Electronics,2025-09-22 01:50:16+0400,2025-09-21 21:50:16+0000,2025-09-03
OMS,ORD801104,1,2005,SKU00187,2,80.08,8.95,151.21,22.68,128.53,KSA,SAR,HomeAppliance,2025-09-08 14:24:49+0300,2025-09-08 11:24:49+0000,2025-09-03
OMS,ORD801104,2,2005,SKU00164,3,74.27,14.15,208.66,31.3,177.36,KSA,SAR,Electronics,2025-09-08 14:24:49+0300,2025-09-08 11:24:49+0000,2025-09-03
OMS,ORD801104,3,2005,SKU00077,2,52.81,15.64,89.98,13.5,76.48,KSA,SAR,HomeAppliance,2025-09-08 14:24:49+0300,2025-09-08 11:24:49+0000,2025-09-03
OMS,ORD801105,1,2007,SKU00228,1,88.01,11.79,76.22,0.0,76.22,KSA,SAR,Fashion,2025-09-21 13:42:36+0300,2025-09-21 10:42:36+0000,2025-09-03
OMS,ORD801106,1,2002,SKU00107,2,82.7,32.98,132.42,6.62,125.8,UAE,AED,Accessories,2025-09-06 12:16:58+0400,2025-09-06 08:16:58+0000,2025-09-03
OMS,ORD801107,1,2007,SKU00084,3,49.71,3.1,146.03,21.9,124.13,KSA,SAR,Accessories,2025-09-05 09:25:34+0300,2025-09-05 06:25:34+0000,2025-09-03
OMS,ORD801108,1,2000,SKU00247,1,99.04,6.36,92.68,4.63,88.05,UAE,AED,HomeAppliance,2025-09-20 17:16:40+0400,2025-09-20 13:16:40+0000,2025-09-03
OMS,ORD801109,1,2003,SKU00140,3,90.37,3.47,267.64,40.15,227.49,KSA,SAR,Fashion,2025-09-29 01:10:50+0300,2025-09-28 22:10:50+0000,2025-09-03
OMS,ORD801110,1,2006,SKU00091,1,88.92,10.91,78.01,0.0,78.01,UAE,AED,Electronics,2025-09-18 16:56:16+0400,2025-09-18 12:56:16+0000,2025-09-03
OMS,ORD801110,2,2006,SKU00096,3,48.46,13.63,131.75,6.59,125.16,UAE,AED,Accessories,2025-09-18 16:56:16+0400,2025-09-18 12:56:16+0000,2025-09-03
OMS,ORD801111,1,2006,SKU00157,2,32.93,3.11,62.75,3.14,59.61,UAE,AED,HomeAppliance,2025-09-23 08:59:40+0400,2025-09-23 04:59:40+0000,2025-09-03
OMS,ORD801111,2,2006,SKU00137,3,139.34,73.09,344.93,17.25,327.68,UAE,AED,Accessories,2025-09-23 08:59:40+0400,2025-09-23 04:59:40+0000,2025-09-03
OMS,ORD801111,3,2006,SKU00173,3,155.57,34.11,432.6,21.63,410.97,UAE,AED,HomeAppliance,2025-09-23 08:59:40+0400,2025-09-23 04:59:40+0000,2025-09-03
OMS,ORD801112,1,2007,SKU00109,2,87.74,32.55,142.93,21.44,121.49,KSA,SAR,Electronics,2025-09-08 21:22:41+0300,2025-09-08 18:22:41+0000,2025-09-03
OMS,ORD801113,1,2006,SKU00254,1,128.03,17.45,110.58,5.53,105.05,UAE,AED,Accessories,2025-09-07 07:25:55+0400,2025-09-07 03:25:55+0000,2025-09-03
OMS,ORD801113,2,2006,SKU00138,1,11.71,0.54,11.17,0.56,10.61,UAE,AED,Fashion,2025-09-07 07:25:55+0400,2025-09-07 03:25:55+0000,2025-09-03
OMS,ORD801113,3,2006,SKU00156,3,79.8,2.57,236.83,11.84,224.99,UAE,AED,Fashion,2025-09-07 07:25:55+0400,2025-09-07 03:25:55+0000,2025-09-03
OMS,ORD801114,1,2000,SKU00016,2,115.18,20.66,209.7,10.48,199.22,UAE,AED,HomeAppliance,2025-09-01 17:16:59+0400,2025-09-01 13:16:59+0000,2025-09-03
OMS,ORD801115,1,2006,SKU00190,1,95.68,18.44,77.24,3.86,73.38,UAE,AED,HomeAppliance,2025-09-27 18:35:59+0400,2025-09-27 14:35:59+0000,2025-09-03
OMS,ORD801116,1,2003,SKU00201,3,23.21,4.12,65.51,9.83,55.68,KSA,SAR,Fashion,2025-09-07 22:01:14+0300,2025-09-07 19:01:14+0000,2025-09-03
OMS,ORD801117,1,2007,SKU00230,3,88.26,29.12,235.66,35.35,200.31,KSA,SAR,Fashion,2025-09-20 06:12:40+0300,2025-09-20 03:12:40+0000,2025-09-03
OMS,ORD801118,1,2005,SKU00197,3,117.44,65.46,286.86,43.03,243.83,KSA,SAR,Electronics,2025-09-05 07:43:43+0300,2025-09-05 04:43:43+0000,2025-09-03
OMS,ORD801119,1,2000,SKU00233,2,21.02,4.42,37.62,1.88,35.74,UAE,AED,HomeAppliance,2025-09-28 19:26:07+0400,2025-09-28 15:26:07+0000,2025-09-03
OMS,ORD801119,2,2000,SKU00156,3,12.99,2.77,36.2,1.81,34.39,UAE,AED,Fashion,2025-09-28 19:26:07+0400,2025-09-28 15:26:07+0000,2025-09-03
OMS,ORD801120,1,2000,SKU00173,1,93.73,6.13,87.6,4.38,83.22,UAE,AED,HomeAppliance,2025-09-19 00:03:50+0400,2025-09-18 20:03:50+0000,2025-09-03
OMS,ORD801121,1,2000,SKU00219,1,74.42,8.52,65.9,3.3,62.6,UAE,AED,Accessories,2025-09-25 11:44:31+0400,2025-09-25 07:44:31+0000,2025-09-03
OMS,ORD801121,2,2000,SKU00059,1,34.72,6.53,28.19,1.41,26.78,UAE,AED,Fashion,2025-09-25 11:44:31+0400,2025-09-25 07:44:31+0000,2025-09-03
OMS,ORD801121,3,2000,SKU00090,1,118.74,17.47,101.27,5.06,96.21,UAE,AED,Accessories,2025-09-25 11:44:31+0400,2025-09-25 07:44:31+0000,2025-09-03
OMS,ORD801121,4,2000,SKU00135,2,128.57,35.81,221.33,11.07,210.26,UAE,AED,Accessories,2025-09-25 11:44:31+0400,2025-09-25 07:44:31+0000,2025-09-03
OMS,ORD801122,1,2005,SKU00222,2,39.27,15.36,63.18,9.48,53.7,KSA,SAR,Electronics,2025-09-09 08:01:41+0300,2025-09-09 05:01:41+0000,2025-09-03
OMS,ORD801123,1,2001,SKU00070,3,93.09,25.71,253.56,0.0,253.56,UAE,AED,Fashion,2025-09-08 01:58:13+0400,2025-09-07 21:58:13+0000,2025-09-03
OMS,ORD801124,1,2000,SKU00042,3,75.89,1.18,226.49,11.32,215.17,UAE,AED,Fashion,2025-09-17 21:23:06+0400,2025-09-17 17:23:06+0000,2025-09-03
OMS,ORD801124,2,2000,SKU00054,3,93.09,34.24,245.03,0.0,245.03,UAE,AED,Accessories,2025-09-17 21:23:06+0400,2025-09-17 17:23:06+0000,2025-09-03
OMS,ORD801124,3,2000,SKU00071,3,76.16,7.43,221.05,11.05,210.0,UAE,AED,HomeAppliance,2025-09-17 21:23:06+0400,2025-09-17 17:23:06+0000,2025-09-03
OMS,ORD801125,1,2001,SKU00104,1,129.24,11.58,117.66,5.88,111.78,UAE,AED,Electronics,2025-09-14 18:03:45+0400,2025-09-14 14:03:45+0000,2025-09-03
OMS,ORD801126,1,2001,SKU00198,1,123.56,9.9,113.66,5.68,107.98,UAE,AED,Fashion,2025-09-08 20:31:40+0400,2025-09-08 16:31:40+0000,2025-09-03
OMS,ORD801127,1,2006,SKU00024,1,129.75,22.17,107.58,5.38,102.2,UAE,AED,HomeAppliance,2025-09-26 07:11:38+0400,2025-09-26 03:11:38+0000,2025-09-03
OMS,ORD801128,1,2007,SKU00190,1,51.68,8.92,42.76,6.41,36.35,KSA,SAR,HomeAppliance,2025-09-09 08:08:39+0300,2025-09-09 05:08:39+0000,2025-09-03
