source_system,order_number,store_id,customer_id_nat,channel,final_status,order_local_ts,order_utc_ts,order_flag,ingestion_date
OMS,ORD801100,2004,CUST001581,POS,Completed,2025-09-20 15:49:41+0300,2025-09-20 12:49:41+0000,,2025-09-03
OMS,ORD801101,2006,CUST000060,POS,Cancelled,2025-09-10 21:17:22+0400,2025-09-10 17:17:22+0000,,2025-10-03
OMS,ORD801102,2007,CUST001324,POS,Completed,2025-09-01 06:50:48+0300,2025-09-01 03:50:48+0000,,2025-09-03
OMS,ORD801103,2000,CUST000538,POS,Completed,2025-09-22 01:50:16+0400,2025-09-21 21:50:16+0000,,2025-09-03
OMS,ORD801104,2005,CUST001934,POS,Completed,2025-09-08 14:24:49+0300,2025-09-08 11:24:49+0000,,2025-09-03
OMS,ORD801105,2007,CUST000142,Web,Completed,2025-09-21 13:42:36+0300,2025-09-21 10:42:36+0000,,2025-10-03
OMS,ORD801106,2002,CUST002325,Web,Cancelled,2025-09-06 12:16:58+0400,2025-09-06 08:16:58+0000,,2025-09-03
OMS,ORD801107,2007,CUST002019,POS,Completed,2025-09-05 09:25:34+0300,2025-09-05 06:25:34+0000,,2025-09-03
OMS,ORD801108,2000,CUST001047,POS,Completed,2025-09-20 17:16:40+0400,2025-09-20 13:16:40+0000,,2025-09-03
OMS,ORD801109,2003,CUST000986,POS,Completed,2025-09-29 01:10:50+0300,2025-09-28 22:10:50+0000,,2025-09-03
OMS,ORD801110,2006,CUST001936,POS,Cancelled,2025-09-18 16:56:16+0400,2025-09-18 12:56:16+0000,,2025-09-03
OMS,ORD801111,2006,CUST000624,Web,Completed,2025-09-23 08:59:40+0400,2025-09-23 04:59:40+0000,,2025-09-03
OMS,ORD801112,2007,CUST002363,POS,Fulfilled,2025-09-08 21:22:41+0300,2025-09-08 18:22:41+0000,,2025-09-03
OMS,ORD801113,2006,CUST002093,POS,Completed,2025-09-07 07:25:55+0400,2025-09-07 03:25:55+0000,,2025-09-03
OMS,ORD801114,2000,CUST001595,Web,Completed,2025-09-01 17:16:59+0400,2025-09-01 13:16:59+0000,,2025-09-03
OMS,ORD801115,2006,CUST000436,POS,Completed,2025-09-27 18:35:59+0400,2025-09-27 14:35:59+0000,,2025-09-03
OMS,ORD801116,2003,CUST001879,POS,Cancelled,2025-09-07 22:01:14+0300,2025-09-07 19:01:14+0000,,2025-09-03
OMS,ORD801117,2007,CUST001503,POS,Completed,2025-09-20 06:12:40+0300,2025-09-20 03:12:40+0000,,2025-09-03
OMS,ORD801118,2005,CUST001639,Web,Fulfilled,2025-09-05 07:43:43+0300,2025-09-05 04:43:43+0000,,2025-09-03
OMS,ORD801119,2000,CUST002343,Web,Completed,2025-09-28 19:26:07+0400,2025-09-28 15:26:07+0000,,2025-09-03
OMS,ORD801120,2000,CUST000971,POS,Cancelled,2025-09-19 00:03:50+0400,2025-09-18 20:03:50+0000,,2025-09-03
OMS,ORD801121,2000,CUST001017,Web,Completed,2025-09-25 11:44:31+0400,2025-09-25 07:44:31+0000,,2025-09-03
OMS,ORD801122,2005,CUST001969,Web,Completed,2025-09-09 08:01:41+0300,2025-09-09 05:01:41+0000,,2025-09-03
OMS,ORD801123,2001,CUST001755,Web,Completed,2025-09-08 01:58:13+0400,2025-09-07 21:58:13+0000,,2025-09-03
OMS,ORD801124,2000,CUST002058,POS,Completed,2025-09-17 21:23:06+0400,2025-09-17 17:23:06+0000,,2025-09-03
OMS,ORD801125,2001,CUST000576,Web,Cancelled,2025-09-14 18:03:45+0400,2025-09-14 14:03:45+0000,,2025-09-03
OMS,ORD801126,2001,CUST001541,POS,Completed,2025-09-08 20:31:40+0400,2025-09-08 16:31:40+0000,,2025-09-03
OMS,ORD801127,2006,CUST000360,POS,Completed,2025-09-26 07:11:38+0400,2025-09-26 03:11:38+0000,,2025-09-03
OMS,ORD801128,2007,CUST002398,POS,Completed,2025-09-09 08:08:39+0300,2025-09-09 05:08:39+0000,,2025-09-03
OMS,ORD801129,2006,CUST000389,POS,Cancelled,2025-09-04 06:10:24+0400,2025-09-04 02:10:24+0000,,2025-09-03
OMS,ORD801130,2000,CUST001303,POS,Fulfilled,2025-09-06 06:45:10+0400,2025-09-06 02:45:10+0000,,2025-09-03
OMS,ORD801131,2007,CUST002118,POS,Fulfilled,2025-09-19 15:05:00+0300,2025-09-19 12:05:00+0000,,2025-09-03
OMS,ORD801132,2001,CUST000428,Marketplace,Completed,2025-09-24 19:29:06+0400,2025-09-24 15:29:06+0000,,2025-09-03
OMS,ORD801133,2003,CUST002127,POS,Completed,2025-09-10 13:55:11+0300,2025-09-10 10:55:11+0000,,2025-09-03
OMS,ORD801134,2001,CUST000214,POS,Completed,2025-09-15 15:24:26+0400,2025-09-15 11:24:26+0000,,2025-09-03
OMS,ORD801135,2006,CUST001223,POS,Completed,2025-09-07 03:33:30+0400,2025-09-06 23:33:30+0000,,2025-09-03
OMS,ORD801136,2007,CUST001950,POS,Completed,2025-09-03 02:40:41+0300,2025-09-02 23:40:41+0000,,2025-09-03
OMS,ORD801137,2007,CUST000535,POS,Completed,2025-09-24 10:25:43+0300,2025-09-24 07:25:43+0000,,2025-09-03
OMS,ORD801138,2002,CUST002047,Web,Fulfilled,2025-09-16 06:26:57+0400,2025-09-16 02:26:57+0000,,2025-09-03
OMS,ORD801139,2007,CUST000685,POS,Completed,2025-09-30 11:57:26+0300,2025-09-30 08:57:26+0000,,2025-09-03
OMS,ORD801140,2005,CUST000913,POS,Completed,2025-09-19 19:55:50+0300,2025-09-19 16:55:50+0000,,2025-09-03
OMS,ORD801141,2000,CUST001422,POS,Completed,2025-09-05 04:32:25+0400,2025-09-05 00:32:25+0000,,2025-09-03
OMS,ORD801142,2000,CUST002290,Web,Completed,2025-09-08 18:44:06+0400,2025-09-08 14:44:06+0000,,2025-09-03
OMS,ORD801143,2001,CUST001129,Web,Completed,2025-09-11 18:44:10+0400,2025-09-11 14:44:10+0000,Internal,2025-09-03
OMS,ORD801144,2001,CUST000060,POS,Completed,2025-09-20 15:15:31+0400,2025-09-20 11:15:31+0000,,2025-09-03
OMS,ORD801145,2002,CUST000979,POS,Completed,2025-09-30 20:12:40+0400,2025-09-30 16:12:40+0000,,2025-09-03
OMS,ORD801146,2002,CUST000319,POS,Fulfilled,2025-09-10 12:29:17+0400,2025-09-10 08:29:17+0000,,2025-09-03
OMS,ORD801147,2006,CUST000821,Web,Completed,2025-09-23 23:01:57+0400,2025-09-23 19:01:57+0000,,2025-09-03
OMS,ORD801148,2001,CUST000579,POS,Completed,2025-09-09 21:10:13+0400,2025-09-09 17:10:13+0000,,2025-09-03
OMS,ORD801149,2003,CUST002298,Web,Completed,2025-09-28 10:46:13+0300,2025-09-28 07:46:13+0000,,2025-09-03
OMS,ORD801150,2001,CUST001341,Web,Completed,2025-09-11 14:08:52+0400,2025-09-11 10:08:52+0000,,2025-09-03
OMS,ORD801151,2002,CUST002424,POS,Completed,2025-09-03 00:35:55+0400,2025-09-02 20:35:55+0000,,2025-09-03
OMS,ORD801152,2002,CUST000460,POS,Completed,2025-09-20 09:44:14+0400,2025-09-20 05:44:14+0000,,2025-09-03
