source_system,payment_id,order_number,store_id,payment_type,payment_status,payment_method,amount_native,fee_native,currency_code,payment_local_ts,payment_utc_ts,ingestion_date
PSP,880000,ORD800000,2007,Capture,Completed,VISA,519.17,6.52,SAR,2025-08-16 18:28:33+0300,2025-08-16 15:28:33+0000,2025-08-03
PSP,880001,ORD800001,2006,Capture,Completed,MASTERCARD,343.52,4.16,AED,2025-08-08 08:19:07+0400,2025-08-08 04:19:07+0000,2025-08-03
PSP,880002,ORD800002,2006,Capture,Completed,VISA,952.79,16.78,AED,2025-08-20 05:29:09+0400,2025-08-20 01:29:09+0000,2025-08-03
PSP,880003,ORD800003,2004,Capture,Completed,CASH,548.64,0.0,SAR,2025-08-03 09:20:27+0300,2025-08-03 06:20:27+0000,2025-08-03
PSP,880004,ORD800004,2002,Capture,Completed,VISA,292.49,5.35,AED,2025-08-04 12:31:39+0400,2025-08-04 08:31:39+0000,2025-08-03
PSP,880005,ORD800005,2005,Capture,Completed,CASH,183.12,0.0,SAR,2025-08-27 00:39:52+0300,2025-08-26 21:39:52+0000,2025-08-03
PSP,880006,ORD800006,2006,Capture,Completed,MASTERCARD,446.75,6.01,AED,2025-08-05 14:07:10+0400,2025-08-05 10:07:10+0000,2025-08-03
PSP,880007,ORD800007,2006,Capture,Completed,VISA,117.16,1.02,AED,2025-08-18 18:24:30+0400,2025-08-18 14:24:30+0000,2025-08-03
PSP,880008,ORD800008,2005,Capture,Completed,VISA,34.92,0.59,SAR,2025-08-29 07:08:50+0300,2025-08-29 04:08:50+0000,2025-08-03
PSP,880009,ORD800009,2005,Capture,Completed,CASH,154.38,0.0,SAR,2025-08-03 20:13:25+0300,2025-08-03 17:13:25+0000,2025-08-03
PSP,880010,ORD800009,2005,Capture,Completed,VISA,60.82,0.88,SAR,2025-08-03 20:50:25+0300,2025-08-03 17:50:25+0000,2025-08-03
PSP,880011,ORD800009,2005,Refund,Completed,CASH,172.23,0.0,SAR,2025-08-09 20:51:25+0300,2025-08-09 17:51:25+0000,2025-08-20
