fx_date,from_ccy,to_ccy,rate_to_aed,source_system
2025-10-01,SAR,AED,0.9819,ERP
2025-10-01,AED,AED,1.0,ERP
2025-10-02,SAR,AED,0.9764,ERP
2025-10-02,AED,AED,1.0,ERP
2025-10-03,SAR,AED,0.985,ERP
2025-10-03,AED,AED,1.0,ERP
2025-10-04,SAR,AED,0.9807,ERP
2025-10-04,AED,AED,1.0,ERP
2025-10-05,SAR,AED,0.9867,ERP
2025-10-05,AED,AED,1.0,ERP
2025-10-06,SAR,AED,0.9777,ERP
2025-10-06,AED,AED,1.0,ERP
2025-10-07,SAR,AED,0.9819,ERP
2025-10-07,AED,AED,1.0,ERP
2025-10-08,SAR,AED,0.9792,ERP
2025-10-08,AED,AED,1.0,ERP
2025-10-09,SAR,AED,0.983,ERP
2025-10-09,AED,AED,1.0,ERP
2025-10-10,SAR,AED,0.9775,ERP
2025-10-10,AED,AED,1.0,ERP
2025-10-11,SAR,AED,0.9837,ERP
2025-10-11,AED,AED,1.0,ERP
2025-10-12,SAR,AED,0.9785,ERP
2025-10-12,AED,AED,1.0,ERP
2025-10-13,SAR,AED,0.9765,ERP
2025-10-13,AED,AED,1.0,ERP
2025-10-14,SAR,AED,0.9823,ERP
2025-10-14,AED,AED,1.0,ERP
2025-10-15,SAR,AED,0.9809,ERP
2025-10-15,AED,AED,1.0,ERP
2025-10-16,SAR,AED,0.9716,ERP
2025-10-16,AED,AED,1.0,ERP
2025-10-17,SAR,AED,0.9798,ERP
2025-10-17,AED,AED,1.0,ERP
2025-10-18,SAR,AED,0.9804,ERP
2025-10-18,AED,AED,1.0,ERP
2025-10-19,SAR,AED,0.9807,ERP
2025-10-19,AED,AED,1.0,ERP
2025-10-20,SAR,AED,0.9881,ERP
2025-10-20,AED,AED,1.0,ERP
2025-10-21,SAR,AED,0.9774,ERP
2025-10-21,AED,AED,1.0,ERP
2025-10-22,SAR,AED,0.9799,ERP
2025-10-22,AED,AED,1.0,ERP
2025-10-23,SAR,AED,0.9732,ERP
2025-10-23,AED,AED,1.0,ERP
2025-10-24,SAR,AED,0.9742,ERP
2025-10-24,AED,AED,1.0,ERP
2025-10-25,SAR,AED,0.9777,ERP
2025-10-25,AED,AED,1.0,ERP
2025-10-26,SAR,AED,0.9795,ERP
2025-10-26,AED,AED,1.0,ERP
2025-10-27,SAR,AED,0.9792,ERP
2025-10-27,AED,AED,1.0,ERP
2025-10-28,SAR,AED,0.9825,ERP
2025-10-28,AED,AED,1.0,ERP
2025-10-29,SAR,AED,0.9829,ERP
2025-10-29,AED,AED,1.0,ERP
2025-10-30,SAR,AED,0.984,ERP
2025-10-30,AED,AED,1.0,ERP
2025-10-31,SAR,AED,0.9793,ERP
2025-10-31,AED,AED,1.0,ERP
