source_system,order_number,line_number,store_id,sku,quantity,unit_price,discount_amount,gross_amount,vat_amount,net_amount,country,currency_code,category,order_local_ts,order_utc_ts,ingestion_date
OMS,ORD802400,1,2004,SKU00176,2,88.6,3.85,173.35,0.0,173.35,KSA,SAR,Fashion,2025-10-04 00:15:17+0300,2025-10-03 21:15:17+0000,2025-10-03
OMS,ORD802401,1,2002,SKU00199,1,114.17,14.56,99.61,4.98,94.63,UAE,AED,Fashion,2025-10-26 02:20:36+0400,2025-10-25 22:20:36+0000,2025-10-03
OMS,ORD802402,1,2004,SKU00063,3,88.4,45.69,219.51,32.93,186.58,KSA,SAR,Electronics,2025-10-19 19:55:16+0300,2025-10-19 16:55:16+0000,2025-10-03
OMS,ORD802403,1,2001,SKU00001,3,147.28,11.88,429.96,21.5,408.46,UAE,AED,HomeAppliance,2025-10-22 08:31:02+0400,2025-10-22 04:31:02+0000,2025-10-03
OMS,ORD802404,1,2001,SKU00003,3,55.92,12.58,155.18,7.76,147.42,UAE,AED,Accessories,2025-10-18 04:34:18+0400,2025-10-18 00:34:18+0000,2025-10-03
OMS,ORD802405,1,2001,SKU00158,1,86.11,10.69,75.42,3.77,71.65,UAE,AED,HomeAppliance,2025-10-06 07:16:43+0400,2025-10-06 03:16:43+0000,2025-10-03
OMS,ORD802406,1,2006,SKU00248,2,113.89,25.99,201.79,10.09,191.7,UAE,AED,Accessories,2025-10-26 06:55:35+0400,2025-10-26 02:55:35+0000,2025-10-03
OMS,ORD802406,2,2006,SKU00083,3,108.92,50.9,275.86,13.79,262.07,UAE,AED,Accessories,2025-10-26 06:55:35+0400,2025-10-26 02:55:35+0000,2025-10-03
OMS,ORD802406,3,2006,SKU00164,2,74.94,5.97,143.91,7.2,136.71,UAE,AED,Electronics,2025-10-26 06:55:35+0400,2025-10-26 02:55:35+0000,2025-10-03
OMS,ORD802407,1,2007,SKU00213,3,83.73,42.6,208.59,31.29,177.3,KSA,SAR,Fashion,2025-10-11 22:20:19+0300,2025-10-11 19:20:19+0000,2025-10-03
OMS,ORD802408,1,2003,SKU00137,3,123.41,32.03,338.2,50.73,287.47,KSA,SAR,Accessories,2025-10-08 12:01:50+0300,2025-10-08 09:01:50+0000,2025-10-03
OMS,ORD802408,2,2003,SKU00058,2,74.98,3.83,146.13,21.92,124.21,KSA,SAR,Electronics,2025-10-08 12:01:50+0300,2025-10-08 09:01:50+0000,2025-10-03
OMS,ORD802408,3,2003,SKU00219,3,90.46,20.68,250.7,37.6,213.1,KSA,SAR,Accessories,2025-10-08 12:01:50+0300,2025-10-08 09:01:50+0000,2025-10-03
OMS,ORD802408,4,2003,SKU00088,1,98.71,8.9,89.81,13.47,76.34,KSA,SAR,Fashion,2025-10-08 12:01:50+0300,2025-10-08 09:01:50+0000,2025-10-03
OMS,ORD802409,1,2007,SKU00227,1,89.12,11.18,77.94,11.69,66.25,KSA,SAR,Electronics,2025-10-21 05:33:03+0300,2025-10-21 02:33:03+0000,2025-10-03
OMS,ORD802409,2,2007,SKU00047,3,85.65,14.32,242.63,36.39,206.24,KSA,SAR,Electronics,2025-10-21 05:33:03+0300,2025-10-21 02:33:03+0000,2025-10-03
OMS,ORD802410,1,2004,SKU00101,1,106.87,15.79,91.08,0.0,91.08,KSA,SAR,Electronics,2025-10-17 08:39:06+0300,2025-10-17 05:39:06+0000,2025-10-03
OMS,ORD802410,2,2004,SKU00103,1,43.01,5.54,37.47,5.62,31.85,KSA,SAR,Electronics,2025-10-17 08:39:06+0300,2025-10-17 05:39:06+0000,2025-10-03
OMS,ORD802411,1,2005,SKU00081,3,83.76,20.93,230.35,34.55,195.8,KSA,SAR,Accessories,2025-10-18 02:38:20+0300,2025-10-17 23:38:20+0000,2025-10-03
OMS,ORD802411,2,2005,SKU00003,3,94.2,17.34,265.26,39.79,225.47,KSA,SAR,Accessories,2025-10-18 02:38:20+0300,2025-10-17 23:38:20+0000,2025-10-03
OMS,ORD802411,3,2005,SKU00112,2,67.54,6.82,128.26,19.24,109.02,KSA,SAR,Fashion,2025-10-18 02:38:20+0300,2025-10-17 23:38:20+0000,2025-10-03
OMS,ORD802412,1,2006,SKU00193,2,98.22,12.08,184.36,9.22,175.14,UAE,AED,Accessories,2025-10-07 19:29:35+0400,2025-10-07 15:29:35+0000,2025-10-03
OMS,ORD802412,2,2006,SKU00119,1,66.52,5.29,61.23,3.06,58.17,UAE,AED,Electronics,2025-10-07 19:29:35+0400,2025-10-07 15:29:35+0000,2025-10-03
OMS,ORD802412,3,2006,SKU00079,3,69.24,23.83,183.89,9.19,174.7,UAE,AED,Accessories,2025-10-07 19:29:35+0400,2025-10-07 15:29:35+0000,2025-10-03
OMS,ORD802413,1,2000,SKU00124,3,54.85,13.59,150.96,7.55,143.41,UAE,AED,Accessories,2025-10-10 19:55:15+0400,2025-10-10 15:55:15+0000,2025-10-03
OMS,ORD802413,2,2000,SKU00184,3,89.88,27.26,242.38,12.12,230.26,UAE,AED,HomeAppliance,2025-10-10 19:55:15+0400,2025-10-10 15:55:15+0000,2025-10-03
OMS,ORD802414,1,2007,SKU00250,1,41.35,8.08,33.27,4.99,28.28,KSA,SAR,Fashion,2025-10-30 22:02:15+0300,2025-10-30 19:02:15+0000,2025-10-03
OMS,ORD802414,2,2007,SKU00042,3,124.59,29.43,344.34,51.65,292.69,KSA,SAR,Fashion,2025-10-30 22:02:15+0300,2025-10-30 19:02:15+0000,2025-10-03
OMS,ORD802414,3,2007,SKU00092,3,75.92,32.47,195.29,29.29,166.0,KSA,SAR,HomeAppliance,2025-10-30 22:02:15+0300,2025-10-30 19:02:15+0000,2025-10-03
