source_system,return_id,order_number,line_number,store_id,quantity_returned,refund_net_native,currency_code,return_reason_code,return_local_ts,return_utc_ts,ingestion_date
OMS,990000,ORD800009,1,2005,1,71.73,SAR,LateDelivery,2025-08-09 20:51:25+0300,2025-08-09 17:51:25+0000,2025-08-20
OMS,990001,ORD800039,1,2006,2,129.85,AED,LateDelivery,2025-08-07 18:28:16+0400,2025-08-07 14:28:16+0000,2025-08-20
OMS,990002,ORD800048,1,2004,1,55.0,SAR,ChangedMind,2025-09-13 15:33:06+0300,2025-09-13 12:33:06+0000,2025-08-20
OMS,990003,ORD800062,1,2004,3,110.32,SAR,ChangedMind,2025-08-31 01:41:16+0300,2025-08-30 22:41:16+0000,2025-08-20
OMS,990004,ORD800082,1,2001,1,40.07,AED,WrongItem,2025-08-20 23:29:47+0400,2025-08-20 19:29:47+0000,2025-08-20
OMS,990005,ORD800084,1,2007,1,42.0,SAR,WrongItem,2025-08-29 20:24:24+0300,2025-08-29 17:24:24+0000,2025-08-20
OMS,990006,ORD800086,2,2007,2,145.55,SAR,LateDelivery,2025-08-27 01:56:14+0300,2025-08-26 22:56:14+0000,2025-08-20
OMS,990007,ORD800107,1,2001,1,34.83,AED,LateDelivery,2025-09-05 00:15:38+0400,2025-09-04 20:15:38+0000,2025-08-20
OMS,990008,ORD800124,1,2001,1,89.35,AED,ChangedMind,2025-08-18 12:59:02+0400,2025-08-18 08:59:02+0000,2025-08-20
OMS,990009,ORD800141,2,2002,2,80.15,AED,LateDelivery,2025-08-24 03:37:31+0400,2025-08-23 23:37:31+0000,2025-08-20
OMS,990010,ORD800145,2,2007,1,115.59,SAR,LateDelivery,2025-09-02 13:29:07+0300,2025-09-02 10:29:07+0000,2025-08-20
OMS,990011,ORD800151,1,2007,2,116.8,SAR,LateDelivery,2025-09-09 05:15:55+0300,2025-09-09 02:15:55+0000,2025-08-20
OMS,990012,ORD800152,1,2001,2,151.63,AED,WrongItem,2025-08-30 09:13:05+0400,2025-08-30 05:13:05+0000,2025-08-20
OMS,990013,ORD800160,1,2003,1,37.46,SAR,WrongItem,2025-08-20 08:07:56+0300,2025-08-20 05:07:56+0000,2025-08-20
OMS,990014,ORD800163,1,2004,1,74.03,SAR,WrongItem,2025-08-13 09:29:32+0300,2025-08-13 06:29:32+0000,2025-08-20
OMS,990015,ORD800166,1,2001,1,110.67,AED,WrongItem,2025-08-20 00:33:51+0400,2025-08-19 20:33:51+0000,2025-08-20
OMS,990016,ORD800167,1,2006,1,62.27,AED,Damaged,2025-09-13 13:51:02+0400,2025-09-13 09:51:02+0000,2025-08-20
OMS,990017,ORD800230,1,2004,1,72.76,SAR,LateDelivery,2025-08-20 10:41:51+0300,2025-08-20 07:41:51+0000,2025-08-20
OMS,990018,ORD800270,1,2002,1,57.95,AED,WrongItem,2025-08-26 05:01:37+0400,2025-08-26 01:01:37+0000,2025-08-20
OMS,990019,ORD800275,2,2006,3,274.37,AED,LateDelivery,2025-09-11 16:54:04+0400,2025-09-11 12:54:04+0000,2025-08-20
OMS,990020,ORD800295,1,2007,1,59.55,SAR,WrongItem,2025-09-07 12:16:55+0300,2025-09-07 09:16:55+0000,2025-08-20
OMS,990021,ORD800306,1,2004,1,85.71,SAR,WrongItem,2025-09-09 10:02:48+0300,2025-09-09 07:02:48+0000,2025-08-20
OMS,990022,ORD800309,1,2002,1,49.48,AED,LateDelivery,2025-09-12 11:01:45+0400,2025-09-12 07:01:45+0000,2025-08-20
OMS,990023,ORD800314,1,2001,1,45.03,AED,ChangedMind,2025-08-17 08:13:57+0400,2025-08-17 04:13:57+0000,2025-08-20
OMS,990024,ORD800325,1,2005,1,71.06,SAR,ChangedMind,2025-09-05 11:59:17+0300,2025-09-05 08:59:17+0000,2025-08-20
OMS,990025,ORD800336,1,2000,1,137.63,AED,LateDelivery,2025-08-18 09:50:57+0400,2025-08-18 05:50:57+0000,2025-08-20
OMS,990026,ORD800382,1,2007,2,150.19,SAR,Damaged,2025-08-25 23:48:33+0300,2025-08-25 20:48:33+0000,2025-08-20
OMS,990027,ORD800387,1,2007,1,80.23,SAR,WrongItem,2025-09-03 12:14:33+0300,2025-09-03 09:14:33+0000,2025-08-20
OMS,990028,ORD800419,2,2004,1,47.35,SAR,ChangedMind,2025-09-11 02:11:53+0300,2025-09-10 23:11:53+0000,2025-08-20
OMS,990029,ORD800421,1,2006,1,71.93,AED,LateDelivery,2025-08-31 14:16:52+0400,2025-08-31 10:16:52+0000,2025-08-20
OMS,990030,ORD800430,3,2007,3,244.6,SAR,ChangedMind,2025-08-09 03:27:01+0300,2025-08-09 00:27:01+0000,2025-08-20
OMS,990031,ORD800435,1,2006,1,104.67,AED,WrongItem,2025-08-27 02:17:04+0400,2025-08-26 22:17:04+0000,2025-08-20
OMS,990032,ORD800446,2,2007,2,151.43,SAR,WrongItem,2025-08-27 20:50:06+0300,2025-08-27 17:50:06+0000,2025-08-20
OMS,990033,ORD800465,1,2000,2,200.24,AED,LateDelivery,2025-08-09 22:28:37+0400,2025-08-09 18:28:37+0000,2025-08-20
OMS,990034,ORD800482,1,2006,3,293.09,AED,ChangedMind,2025-08-19 19:15:03+0400,2025-08-19 15:15:03+0000,2025-08-20
OMS,990035,ORD800490,1,2001,3,276.1,AED,ChangedMind,2025-09-09 22:10:57+0400,2025-09-09 18:10:57+0000,2025-08-20
OMS,990036,ORD800492,1,2006,2,179.81,AED,ChangedMind,2025-08-06 03:55:55+0400,2025-08-05 23:55:55+0000,2025-08-20
OMS,990037,ORD800502,2,2000,1,74.58,AED,WrongItem,2025-08-24 02:50:01+0400,2025-08-23 22:50:01+0000,2025-08-20
OMS,990038,ORD800514,1,2002,1,50.6,AED,WrongItem,2025-08-25 23:02:41+0400,2025-08-25 19:02:41+0000,2025-08-20
OMS,990039,ORD800515,1,2004,2,113.09,SAR,WrongItem,2025-08-21 07:24:27+0300,2025-08-21 04:24:27+0000,2025-08-20
OMS,990040,ORD800517,2,2006,1,44.88,AED,LateDelivery,2025-08-31 01:14:59+0400,2025-08-30 21:14:59+0000,2025-08-20
OMS,990041,ORD800538,1,2006,2,148.62,AED,Damaged,2025-09-01 17:45:01+0400,2025-09-01 13:45:01+0000,2025-08-20
OMS,990042,ORD800549,1,2003,2,128.03,SAR,WrongItem,2025-09-04 12:36:41+0300,2025-09-04 09:36:41+0000,2025-08-20
