source_system,order_number,line_number,store_id,sku,quantity,unit_price,gross_amount,vat_amount,net_amount,country,currency_code,category,order_local_ts,order_utc_ts
OMS,ORD500000,1,1006,SKU00137,2,513.93,1027.86,0.0,1027.86,UAE,AED,Fashion,2025-10-02 01:58:20+0400,2025-10-01 21:58:20+0000
OMS,ORD500001,1,1001,SKU00085,3,621.78,1865.34,0.0,1865.34,UAE,AED,Electronics,2025-08-11 19:25:12+0400,2025-08-11 15:25:12+0000
OMS,ORD500002,1,1007,SKU00018,2,72.28,144.56,0.0,144.56,KSA,SAR,Fashion,2025-08-03 10:16:45+0300,2025-08-03 07:16:45+0000
OMS,ORD500003,1,1004,SKU00136,1,269.97,269.97,40.5,229.47,KSA,SAR,Electronics,2025-10-11 23:56:16+0300,2025-10-11 20:56:16+0000
OMS,ORD500004,1,1005,SKU00088,2,503.69,1007.38,151.11,856.27,KSA,SAR,Fashion,2025-08-27 16:51:53+0300,2025-08-27 13:51:53+0000
OMS,ORD500005,1,1000,SKU00180,1,195.87,195.87,9.79,186.08,UAE,AED,HomeAppliance,2025-08-24 18:38:21+0400,2025-08-24 14:38:21+0000
OMS,ORD500005,2,1000,SKU00132,3,583.21,1749.63,87.48,1662.15,UAE,AED,Electronics,2025-08-24 18:38:21+0400,2025-08-24 14:38:21+0000
OMS,ORD500005,3,1000,SKU00006,3,522.1,1566.3,78.31,1487.99,UAE,AED,Accessories,2025-08-24 18:38:21+0400,2025-08-24 14:38:21+0000
OMS,ORD500005,4,1000,SKU00008,3,170.75,512.25,25.61,486.64,UAE,AED,Fashion,2025-08-24 18:38:21+0400,2025-08-24 14:38:21+0000
OMS,ORD500006,1,1005,SKU00098,2,699.68,1399.36,209.9,1189.46,KSA,SAR,Accessories,2025-08-22 16:07:07+0300,2025-08-22 13:07:07+0000
OMS,ORD500006,2,1005,SKU00188,3,426.4,1279.2,191.88,1087.32,KSA,SAR,Fashion,2025-08-22 16:07:07+0300,2025-08-22 13:07:07+0000
OMS,ORD500007,1,1005,SKU00161,1,890.19,890.19,133.53,756.66,KSA,SAR,Electronics,2025-08-14 13:08:48+0300,2025-08-14 10:08:48+0000
OMS,ORD500007,2,1005,SKU00114,2,362.76,725.52,108.83,616.69,KSA,SAR,Electronics,2025-08-14 13:08:48+0300,2025-08-14 10:08:48+0000
OMS,ORD500008,1,1005,SKU00164,2,447.0,894.0,134.1,759.9,KSA,SAR,Accessories,2025-10-11 12:06:08+0300,2025-10-11 09:06:08+0000
OMS,ORD500008,2,1005,SKU00141,3,496.29,1488.87,223.33,1265.54,KSA,SAR,Fashion,2025-10-11 12:06:08+0300,2025-10-11 09:06:08+0000
OMS,ORD500009,1,1007,SKU00077,2,451.18,902.36,135.35,767.01,KSA,SAR,Fashion,2025-08-10 22:49:51+0300,2025-08-10 19:49:51+0000
OMS,ORD500009,2,1007,SKU00058,2,618.43,1236.86,185.53,1051.33,KSA,SAR,Accessories,2025-08-10 22:49:51+0300,2025-08-10 19:49:51+0000
OMS,ORD500009,3,1007,SKU00075,1,323.35,323.35,0.0,323.35,KSA,SAR,Fashion,2025-08-10 22:49:51+0300,2025-08-10 19:49:51+0000
OMS,ORD500010,1,1005,SKU00018,1,119.9,119.9,0.0,119.9,KSA,SAR,Fashion,2025-10-05 16:49:26+0300,2025-10-05 13:49:26+0000
OMS,ORD500010,2,1005,SKU00040,3,267.98,803.94,120.59,683.35,KSA,SAR,Fashion,2025-10-05 16:49:26+0300,2025-10-05 13:49:26+0000
OMS,ORD500010,3,1005,SKU00023,2,188.89,377.78,56.67,321.11,KSA,SAR,HomeAppliance,2025-10-05 16:49:26+0300,2025-10-05 13:49:26+0000
OMS,ORD500010,4,1005,SKU00109,1,212.5,212.5,31.88,180.62,KSA,SAR,Fashion,2025-10-05 16:49:26+0300,2025-10-05 13:49:26+0000
OMS,ORD500011,1,1004,SKU00174,3,683.26,2049.78,307.47,1742.31,KSA,SAR,Fashion,2025-10-11 21:52:51+0300,2025-10-11 18:52:51+0000
OMS,ORD500012,1,1006,SKU00053,3,445.33,1335.99,66.8,1269.19,UAE,AED,HomeAppliance,2025-10-26 14:55:44+0400,2025-10-26 10:55:44+0000
OMS,ORD500012,2,1006,SKU00052,1,194.74,194.74,9.74,185.0,UAE,AED,Accessories,2025-10-26 14:55:44+0400,2025-10-26 10:55:44+0000
OMS,ORD500013,1,1005,SKU00161,1,536.73,536.73,80.51,456.22,KSA,SAR,Electronics,2025-09-22 22:47:46+0300,2025-09-22 19:47:46+0000
OMS,ORD500014,1,1001,SKU00088,2,656.4,1312.8,65.64,1247.16,UAE,AED,Fashion,2025-08-09 10:34:55+0400,2025-08-09 06:34:55+0000
OMS,ORD500014,2,1001,SKU00102,2,706.33,1412.66,70.63,1342.03,UAE,AED,Accessories,2025-08-09 10:34:55+0400,2025-08-09 06:34:55+0000
OMS,ORD500014,3,1001,SKU00165,3,87.57,262.71,13.14,249.57,UAE,AED,Fashion,2025-08-09 10:34:55+0400,2025-08-09 06:34:55+0000
OMS,ORD500015,1,1000,SKU00014,3,208.7,626.1,0.0,626.1,UAE,AED,HomeAppliance,2025-09-27 07:56:50+0400,2025-09-27 03:56:50+0000
OMS,ORD500016,1,1007,SKU00102,3,509.68,1529.04,229.36,1299.68,KSA,SAR,Accessories,2025-09-10 23:08:56+0300,2025-09-10 20:08:56+0000
OMS,ORD500017,1,1001,SKU00140,2,114.13,228.26,11.41,216.85,UAE,AED,HomeAppliance,2025-08-04 02:03:32+0400,2025-08-03 22:03:32+0000
OMS,ORD500018,1,1005,SKU00015,1,429.95,429.95,64.49,365.46,KSA,SAR,Accessories,2025-08-03 21:25:57+0300,2025-08-03 18:25:57+0000
OMS,ORD500018,2,1005,SKU00016,3,909.27,2727.81,409.17,2318.64,KSA,SAR,Fashion,2025-08-03 21:25:57+0300,2025-08-03 18:25:57+0000
OMS,ORD500018,3,1005,SKU00031,3,514.42,1543.26,231.49,1311.77,KSA,SAR,Fashion,2025-08-03 21:25:57+0300,2025-08-03 18:25:57+0000
OMS,ORD500019,1,1004,SKU00123,2,27.5,55.0,8.25,46.75,KSA,SAR,Electronics,2025-08-10 02:19:32+0300,2025-08-09 23:19:32+0000
OMS,ORD500020,1,1004,SKU00069,2,154.57,309.14,46.37,262.77,KSA,SAR,HomeAppliance,2025-08-22 05:27:48+0300,2025-08-22 02:27:48+0000
OMS,ORD500021,1,1004,SKU00110,2,38.29,76.58,11.49,65.09,KSA,SAR,Accessories,2025-08-23 14:08:21+0300,2025-08-23 11:08:21+0000
OMS,ORD500021,2,1004,SKU00032,2,43.95,87.9,13.19,74.71,KSA,SAR,Electronics,2025-08-23 14:08:21+0300,2025-08-23 11:08:21+0000
OMS,ORD500022,1,1004,SKU00139,3,653.88,1961.64,294.25,1667.39,KSA,SAR,Electronics,2025-09-19 01:33:47+0300,2025-09-18 22:33:47+0000
OMS,ORD500023,1,1004,SKU00045,1,619.58,619.58,92.94,526.64,KSA,SAR,Fashion,2025-09-28 10:48:19+0300,2025-09-28 07:48:19+0000
OMS,ORD500023,2,1004,SKU00076,3,669.99,2009.97,301.5,1708.47,KSA,SAR,Fashion,2025-09-28 10:48:19+0300,2025-09-28 07:48:19+0000
OMS,ORD500024,1,1000,SKU00142,2,300.64,601.28,30.06,571.22,UAE,AED,Electronics,2025-08-03 13:49:59+0400,2025-08-03 09:49:59+0000
