source_system,payment_id,order_number,store_id,payment_type,payment_status,payment_method,amount_native,fee_native,currency_code,payment_local_ts,payment_utc_ts,ingestion_date
PSP,882714,ORD802400,2004,Capture,Completed,VISA,173.35,2.3,SAR,2025-10-04 00:31:17+0300,2025-10-03 21:31:17+0000,2025-10-03
PSP,882715,ORD802402,2004,Capture,Completed,CASH,186.58,0.0,SAR,2025-10-19 21:20:16+0300,2025-10-19 18:20:16+0000,2025-10-03
PSP,882716,ORD802403,2001,Capture,Completed,MASTERCARD,408.46,7.74,AED,2025-10-22 08:40:02+0400,2025-10-22 04:40:02+0000,2025-10-03
PSP,882717,ORD802404,2001,Capture,Completed,BNPL,147.42,2.2,AED,2025-10-18 05:56:18+0400,2025-10-18 01:56:18+0000,2025-10-03
PSP,882718,ORD802405,2001,Capture,Completed,VISA,71.65,1.2,AED,2025-10-06 07:22:43+0400,2025-10-06 03:22:43+0000,2025-10-03
PSP,882719,ORD802406,2006,Capture,Completed,CASH,590.48,0.0,AED,2025-10-26 07:45:35+0400,2025-10-26 03:45:35+0000,2025-10-03
PSP,882720,ORD802407,2007,Capture,Completed,VISA,177.3,2.83,SAR,2025-10-11 22:35:19+0300,2025-10-11 19:35:19+0000,2025-10-03
PSP,882721,ORD802408,2003,Capture,Failed,WALLET,0.0,0.0,SAR,2025-10-08 13:00:50+0300,2025-10-08 10:00:50+0000,2025-10-03
PSP,882722,ORD802409,2007,Capture,Completed,WALLET,272.49,1.58,SAR,2025-10-21 06:04:03+0300,2025-10-21 03:04:03+0000,2025-10-03
PSP,882723,ORD802410,2004,Capture,Completed,CASH,52.05,0.0,SAR,2025-10-17 09:02:06+0300,2025-10-17 06:02:06+0000,2025-10-03
PSP,882724,ORD802410,2004,Capture,Completed,BNPL,70.88,0.55,SAR,2025-10-17 09:54:06+0300,2025-10-17 06:54:06+0000,2025-10-03
PSP,882725,ORD802411,2005,Capture,Completed,VISA,530.29,10.24,SAR,2025-10-18 03:47:20+0300,2025-10-18 00:47:20+0000,2025-10-03
PSP,882726,ORD802412,2006,Capture,Completed,CASH,408.01,0.0,AED,2025-10-07 20:41:35+0400,2025-10-07 16:41:35+0000,2025-10-03
PSP,882727,ORD802414,2007,Capture,Completed,MASTERCARD,486.97,3.95,SAR,2025-10-30 22:53:15+0300,2025-10-30 19:53:15+0000,2025-10-03
PSP,882728,ORD802415,2004,Capture,Completed,MASTERCARD,71.6,1.28,SAR,2025-10-30 16:36:58+0300,2025-10-30 13:36:58+0000,2025-10-03
PSP,882729,ORD802416,2000,Capture,Completed,MASTERCARD,135.85,2.49,AED,2025-10-14 10:51:03+0400,2025-10-14 06:51:03+0000,2025-10-03
PSP,882730,ORD802417,2000,Capture,Completed,MASTERCARD,404.86,6.57,AED,2025-10-26 04:19:38+0400,2025-10-26 00:19:38+0000,2025-10-03
PSP,882731,ORD802418,2006,Capture,Completed,VISA,425.68,7.7,AED,2025-10-05 15:42:35+0400,2025-10-05 11:42:35+0000,2025-10-03
PSP,882732,ORD802419,2000,Capture,Completed,VISA,547.84,10.32,AED,2025-10-24 03:06:34+0400,2025-10-23 23:06:34+0000,2025-10-03
PSP,882733,ORD802420,2000,Capture,Completed,VISA,176.87,1.64,AED,2025-10-14 02:23:16+0400,2025-10-13 22:23:16+0000,2025-10-03
PSP,882734,ORD802420,2000,Refund,Completed,VISA,86.54,0.0,AED,2025-10-17 02:42:16+0400,2025-10-16 22:42:16+0000,2025-10-20
PSP,882735,ORD802421,2005,Capture,Completed,VISA,248.84,2.98,SAR,2025-10-21 01:38:09+0300,2025-10-20 22:38:09+0000,2025-10-03
PSP,882736,ORD802422,2003,Capture,Completed,MASTERCARD,286.13,3.43,SAR,2025-10-06 01:30:08+0300,2025-10-05 22:30:08+0000,2025-10-03
PSP,882737,ORD802423,2001,Capture,Completed,CASH,264.83,0.0,AED,2025-10-01 05:14:15+0400,2025-10-01 01:14:15+0000,2025-10-03
PSP,882738,ORD802423,2001,Capture,Completed,BNPL,27.42,0.5,AED,2025-10-01 05:36:15+0400,2025-10-01 01:36:15+0000,2025-10-03
PSP,882739,ORD802423,2001,Refund,Completed,WALLET,102.49,0.0,AED,2025-10-11 06:49:15+0400,2025-10-11 02:49:15+0000,2025-10-20
PSP,882740,ORD802424,2003,Capture,Completed,WALLET,454.1,5.62,SAR,2025-10-27 17:27:02+0300,2025-10-27 14:27:02+0000,2025-10-03
PSP,882741,ORD802424,2003,Refund,Completed,BNPL,325.11,0.0,SAR,2025-11-04 17:25:02+0300,2025-11-04 14:25:02+0000,2025-10-20
PSP,882742,ORD802425,2001,Capture,Completed,VISA,522.65,8.14,AED,2025-10-25 04:42:33+0400,2025-10-25 00:42:33+0000,2025-10-03
PSP,882743,ORD802426,2000,Capture,Completed,BNPL,349.36,3.82,AED,2025-10-20 08:20:48+0400,2025-10-20 04:20:48+0000,2025-10-03
PSP,882744,ORD802427,2007,Capture,Completed,MASTERCARD,551.1,9.42,SAR,2025-10-28 19:04:49+0300,2025-10-28 16:04:49+0000,2025-10-03
PSP,882745,ORD802428,2005,Capture,Completed,WALLET,95.3,0.54,SAR,2025-10-08 07:33:06+0300,2025-10-08 04:33:06+0000,2025-10-03
PSP,882746,ORD802429,2000,Capture,Completed,MASTERCARD,361.7,5.65,AED,2025-10-21 07:21:02+0400,2025-10-21 03:21:02+0000,2025-10-03
PSP,882747,ORD802430,2000,Capture,Completed,MASTERCARD,77.76,0.78,AED,2025-10-14 14:41:05+0400,2025-10-14 10:41:05+0000,2025-10-03
PSP,882748,ORD802431,2001,Capture,Completed,CASH,411.06,0.0,AED,2025-10-31 04:56:58+0400,2025-10-31 00:56:58+0000,2025-10-03
PSP,882749,ORD802432,2002,Capture,Completed,WALLET,87.47,1.29,AED,2025-10-30 11:45:42+0400,2025-10-30 07:45:42+0000,2025-10-03
PSP,882750,ORD802432,2002,Capture,Completed,BNPL,18.78,0.14,AED,2025-10-30 12:00:42+0400,2025-10-30 08:00:42+0000,2025-10-03
PSP,882751,ORD802433,2002,Capture,Completed,MASTERCARD,155.09,2.89,AED,2025-10-06 09:53:17+0400,2025-10-06 05:53:17+0000,2025-10-03
PSP,882752,ORD802434,2001,Capture,Completed,WALLET,339.28,3.99,AED,2025-10-19 11:17:19+0400,2025-10-19 07:17:19+0000,2025-10-03
PSP,882753,ORD802435,2007,Capture,Completed,WALLET,29.69,0.35,SAR,2025-10-23 00:03:53+0300,2025-10-22 21:03:53+0000,2025-10-03
PSP,882754,ORD802436,2001,Capture,Completed,MASTERCARD,100.64,1.53,AED,2025-10-23 06:03:41+0400,2025-10-23 02:03:41+0000,2025-10-03
PSP,882755,ORD802437,2006,Capture,Completed,MASTERCARD,308.91,5.81,AED,2025-10-15 00:39:03+0400,2025-10-14 20:39:03+0000,2025-10-03
PSP,882756,ORD802438,2003,Capture,Completed,VISA,341.5,5.82,SAR,2025-10-18 03:30:50+0300,2025-10-18 00:30:50+0000,2025-10-03
PSP,882757,ORD802439,2006,Capture,Completed,VISA,324.09,3.43,AED,2025-10-15 05:40:30+0400,2025-10-15 01:40:30+0000,2025-10-03
PSP,882758,ORD802440,2004,Capture,Completed,VISA,52.65,0.61,SAR,2025-10-18 03:17:15+0300,2025-10-18 00:17:15+0000,2025-10-03
PSP,882759,ORD802441,2004,Capture,Completed,MASTERCARD,440.67,2.98,SAR,2025-10-20 00:11:49+0300,2025-10-19 21:11:49+0000,2025-10-03
PSP,882760,ORD802442,2002,Capture,Completed,MASTERCARD,296.06,3.84,AED,2025-10-26 13:45:33+0400,2025-10-26 09:45:33+0000,2025-10-03
PSP,882761,ORD802443,2007,Capture,Completed,VISA,112.8,1.0,SAR,2025-10-28 00:21:53+0300,2025-10-27 21:21:53+0000,2025-10-03
PSP,882762,ORD802444,2006,Capture,Completed,WALLET,228.66,2.94,AED,2025-10-29 22:27:54+0400,2025-10-29 18:27:54+0000,2025-10-03
PSP,882763,ORD802444,2006,Capture,Completed,CASH,37.84,0.0,AED,2025-10-29 22:41:54+0400,2025-10-29 18:41:54+0000,2025-10-03
PSP,882764,ORD802445,2006,Capture,Completed,VISA,223.0,4.3,AED,2025-10-19 17:03:33+0400,2025-10-19 13:03:33+0000,2025-10-03
PSP,882765,ORD802446,2002,Capture,Completed,MASTERCARD,96.23,1.36,AED,2025-10-16 16:00:59+0400,2025-10-16 12:00:59+0000,2025-10-03
PSP,882766,ORD802446,2002,Refund,Completed,BNPL,19.44,0.0,AED,2025-11-03 16:13:59+0400,2025-11-03 12:13:59+0000,2025-10-20
PSP,882767,ORD802448,2001,Capture,Completed,BNPL,133.81,1.8,AED,2025-10-19 12:20:02+0400,2025-10-19 08:20:02+0000,2025-10-03
PSP,882768,ORD802448,2001,Capture,Completed,VISA,58.39,0.42,AED,2025-10-19 11:59:02+0400,2025-10-19 07:59:02+0000,2025-10-03
PSP,882769,ORD802449,2004,Capture,Completed,CASH,323.26,0.0,SAR,2025-10-22 14:34:00+0300,2025-10-22 11:34:00+0000,2025-10-03
PSP,882770,ORD802450,2007,Capture,Completed,VISA,182.75,2.04,SAR,2025-10-15 14:47:06+0300,2025-10-15 11:47:06+0000,2025-10-03
PSP,882771,ORD802451,2002,Capture,Completed,MASTERCARD,275.6,3.08,AED,2025-10-09 23:15:19+0400,2025-10-09 19:15:19+0000,2025-10-03
PSP,882772,ORD802452,2006,Capture,Completed,VISA,169.39,3.35,AED,2025-10-27 02:09:13+0400,2025-10-26 22:09:13+0000,2025-10-03
PSP,882773,ORD802453,2002,Capture,Completed,BNPL,240.02,2.83,AED,2025-10-15 19:07:25+0400,2025-10-15 15:07:25+0000,2025-10-03
PSP,882774,ORD802454,2006,Capture,Completed,CASH,138.14,0.0,AED,2025-10-08 02:13:34+0400,2025-10-07 22:13:34+0000,2025-10-03
